method,n_clusters,silhouette,calinski_harabasz,davies_bouldin,edge_disagreement,neighbor_agreement,n_components_total,disconnected_clusters,largest_component_fraction
K-means,5,0.3282303851629583,429.6718279800088,0.9920778281914464,0.5748502994011976,0.4251497005988024,101,5,0.7662337662337663
Connectivity-constrained Ward,5,0.19938243986963272,194.41463630593708,1.3802897023282645,0.47852681733307584,0.5214731826669241,5,0,1.0
Graph-regularized K-means,5,0.13236268691595252,191.88429204669106,1.8948402861258753,0.21267143133088665,0.7873285686691134,42,2,0.946969696969697
