lambda_spatial,iterations,objective,silhouette,calinski_harabasz,davies_bouldin,edge_disagreement,neighbor_agreement,n_components_total,disconnected_clusters,largest_component_fraction
0.0,1,750.955071271678,0.38716217683722853,1190.883033699841,0.9634077907042364,0.5035097192224622,0.49649028077753776,96,4,0.34
0.25,5,1201.3875019388354,0.3816936683213825,1175.3684259822926,0.9706728468952721,0.4724622030237581,0.5275377969762419,97,4,0.33416666666666667
0.5,5,1625.4902004231062,0.3679575743044334,1134.0362154087322,0.9938789066601883,0.4451943844492441,0.5548056155507559,93,4,0.39416666666666667
1.0,7,2351.5789934665927,0.27690071972118363,861.9154212043998,1.2326508281801232,0.3363930885529158,0.6636069114470842,66,4,0.49833333333333335
2.0,8,2531.4069425358475,0.04939177562915473,445.178534291157,3.642197053658985,0.07532397408207343,0.9246760259179265,16,4,0.7158333333333333
